age,2023_total,2023_male_diverse,2023_female,2016_total,2016_male_diverse,2016_female,comparison_total,comparison_male_diverse,comparison_female
18 bis unter 21,1.970784710480361,2.088698140200286,1.8600150521449301,2,2,2,-0.02921528951963892,0.08869814020028599,-0.13998494785506987
21 bis unter 25,3.772486625828089,3.8340486409155927,3.7146543382431987,3.3,3.3,3.3,0.4724866258280893,0.5340486409155929,0.41465433824319886
25 bis unter 30,5.6933780524988205,5.510729613733905,5.864960756907857,8,8.3,7.9,-2.3066219475011795,-2.7892703862660957,-2.035039243092143
30 bis unter 35,7.8249300108102116,7.816881258941344,7.832491129986022,8.7,9.3,8.2,-0.8750699891897877,-1.4831187410586564,-0.36750887001397725
35 bis unter 40,10.19486099176761,10.666666666666666,9.751639608644235,8.5,9.1,8,1.6948609917676105,1.5666666666666664,1.7516396086442345
40 bis unter 45,9.590597887850986,9.962804005722463,9.240941834211377,6.8,7.3,6.4,2.7905978878509865,2.662804005722463,2.8409418342113764
45 bis unter 50,8.121517864567455,8.583690987124463,7.68734544672616,8,8.9,7.2,0.12151786456745484,-0.3163090128755375,0.48734544672615954
50 bis unter 60,17.78418382903235,18.92417739628041,16.71325663907107,18.3,19,17.6,-0.5158161709676499,-0.07582260371959038,-0.8867433609289321
60 bis unter 70,15.569476397704907,15.639484978540766,15.503709278572195,14.6,14.4,14.8,0.9694763977049075,1.2394849785407658,0.7037092785721946
70 und Ã¤lter,19.47778362945921,16.972818311874107,21.830985915492956,21.7,18.5,24.6,-2.2222163705407887,-1.5271816881258928,-2.7690140845070452
Insgesamt,99.99999999999999,100,100,100,100,100,x,x,x
