age,2017_total,2017_male,2017_female,2013_total,2013_male,2013_female,comparison_total,comparison_male,comparison_female
18 bis unter 21,17.7,16,19.5,10.2,8.4,11.7,7.5,7.6,7.8
21 bis unter 25,20.1,17.8,22,14.1,11.7,16.2,6,6.1,5.8
25 bis unter 30,24.5,21.3,27.6,18.1,16.4,19.7,6.4,4.9,7.9
30 bis unter 35,24.6,22.1,27.1,19.1,17.4,20.9,5.5,4.7,6.2
35 bis unter 40,23,20.6,25.6,18.3,17.9,18.7,4.7,2.8,6.9
40 bis unter 45,23.9,21.7,26.1,17.9,16.9,19,6,4.8,7.1
45 bis unter 50,24,22.4,25.8,18.6,17.5,19.8,5.4,4.9,6
50 bis unter 60,26.4,24.5,28.3,19.9,18.4,21.5,6.5,6.1,6.8
60 bis unter 70,29.2,28.7,29.7,23.4,22.9,23.8,5.8,5.8,5.9
70 und Ã¤lter,28.7,29.5,28.1,23.4,24.5,22.7,5.3,5,5.4
