id,district_id,eligible_voters,eligible_voters_a1,eligible_voters_a2,eligible_voters_a3,voters,voters_b1,invalid_votes,valid_votes,voter_turnout,invalid_votes_percentage,valid_votes_percentage,party_spd,party_cdu,party_grüne,party_die_linke,party_piraten,party_npd,party_fdp,party_tierschutzpartei,party_pro_deutschland,party_die_partei,party_big,party_dkp,party_ödp,party_psg,party_büso,party_b,party_dl,party_alfa,party_tierschutzallianz,party_afd,party_die_einheit,party_die_violetten,party_graue_panther,party_menschliche_welt,party_mieterpartei,party_gesundheitsforschung,party_spd_percentage,party_cdu_percentage,party_grüne_percentage,party_die_linke_percentage,party_piraten_percentage,party_npd_percentage,party_fdp_percentage,party_tierschutzpartei_percentage,party_pro_deutschland_percentage,party_die_partei_percentage,party_big_percentage,party_dkp_percentage,party_ödp_percentage,party_psg_percentage,party_büso_percentage,party_b_percentage,party_dl_percentage,party_alfa_percentage,party_tierschutzallianz_percentage,party_afd_percentage,party_die_einheit_percentage,party_die_violetten_percentage,party_graue_panther_percentage,party_menschliche_welt_percentage,party_mieterpartei_percentage,party_gesundheitsforschung_percentage
01,01,204769,164007,40762,0,128151,37650,1930,126106,62.583203512250385,1.506035848335167,98.4042262643288,27172,17076,26901,22154,2887,355,8333,1871,292,3687,0,342,0,272,77,0,0,386,0,12480,0,435,988,0,0,398,21.54695256371624,13.540989326439663,21.33205398632896,17.567760455489825,2.2893438853028405,0.2815092065405294,6.60793300873868,1.4836724660206493,0.2315512346755904,2.9237308296195264,0.0,0.27120041869538325,0.0,0.21569156106767323,0.06105974339048102,0.0,0.0,0.306091700632801,0.0,9.8964363313403,0.0,0.34494790097219796,0.7834678762311071,0.0,0.0,0.3156075047975513
02,02,170908,134740,36167,1,117022,33740,1274,115605,68.47075619631615,1.0886841790432569,98.78911657637025,21087,9053,32778,27016,3629,223,4517,1753,212,4858,0,402,295,199,48,636,0,240,0,7396,0,421,536,0,0,306,18.240560529388866,7.830976168850828,28.353444920202413,23.36923143462653,3.139137580554474,0.19289823104537002,3.9072704467799833,1.5163703992041866,0.1833830716664504,4.202240387526491,0.0,0.34773582457506164,0.25517927425284376,0.17213788330954544,0.041520695471649154,0.5501492149993512,0.0,0.20760347735824577,0.0,6.39764716058994,0.0,0.3641710998659228,0.4636477661000822,0.0,0.0,0.26469443363176337
03,03,285240,225444,59796,0,199403,56201,2774,196521,69.90709577899314,1.3911525904825905,98.55468573692472,39583,24719,35145,42196,3938,1126,8667,3555,799,4610,0,620,0,287,170,0,0,771,0,27152,0,0,1969,0,0,1214,20.141867790210714,12.578299520153063,17.88358496038591,21.471496684832665,2.003857094152788,0.5729667567333772,4.410215702138703,1.8089669806280244,0.40657232560387946,2.3458052828959755,0.0,0.3154879122332982,0.0,0.14604037227573644,0.08650475012848499,0.0,0.0,0.3923244844062467,0.0,13.816335149933087,0.0,0.0,1.001928547076394,0.0,0.0,0.6177456862116517
04,04,217586,163978,53608,0,152279,50216,1888,150208,69.98566084214977,1.239829523440527,98.63999632253955,34318,30545,27822,13922,2003,223,18454,2363,291,2010,0,98,0,99,93,0,0,658,0,15431,0,0,1072,377,0,429,22.846985513421387,20.335135279079676,18.522315722198552,9.268481039625055,1.3334842351938645,0.14846080102258202,12.28563059224542,1.5731518960374946,0.1937313591819344,1.3381444397102684,0.0,0.06524286322965488,0.0,0.06590860673199829,0.061914145717937796,0.0,0.0,0.43805922454196844,0.0,10.27308798466127,0.0,0.0,0.7136770345121433,0.2509853003834682,0.0,0.28560396250532594
05,05,162760,132460,30296,4,103431,28471,2109,101145,63.54816908331286,2.039040519766801,97.7898309017606,27740,24835,8779,6726,1398,555,7703,2412,543,1217,0,70,0,62,61,0,0,433,0,16748,0,0,1373,0,0,490,27.425972613574572,24.553858322210687,8.67961836966731,6.649859113154383,1.3821741064807949,0.5487171881951654,7.6157991003015475,2.3846952395076375,0.5368530327747294,1.2032230955558851,0.0,0.06920757328587672,0.0,0.06129813633891937,0.06030945672054971,0.0,0.0,0.428098274754066,0.0,16.55840624845519,0.0,0.0,1.3574571160215532,0.0,0.0,0.48445301300113697
06,06,218473,156731,61742,0,162844,58092,1942,160803,74.53735701894513,1.192552381420255,98.74665323868243,34737,41065,26976,11152,2242,307,19051,2733,328,1766,0,109,0,92,138,0,0,617,0,17677,0,0,1265,0,0,548,21.6022089140128,25.53745887825476,16.775806421521985,6.935193995136907,1.3942525947898983,0.19091683612867918,11.847415782043868,1.6995951568067758,0.2039762939746149,1.0982382169486886,0.0,0.06778480500985679,0.0,0.0572128629440993,0.08581929441614895,0.0,0.0,0.38369930909249206,0.0,10.992954111552645,0.0,0.0,0.7866768654813654,0.0,0.0,0.34078966188441756
07,07,233874,178121,55753,0,161154,52381,2439,158582,68.90633417994306,1.5134591756952978,98.4040110701565,39427,31622,29615,15348,2478,456,12465,2783,372,2285,0,179,0,236,106,0,0,621,0,18097,0,0,1581,462,0,449,24.862216392781022,19.94047243697267,18.674881134050523,9.678273700672207,1.5625985294674047,0.2875483976743893,7.860286791691365,1.7549280498417221,0.2345789559975281,1.4408949313289023,0.0,0.11287535785902561,0.0,0.14881890756832428,0.06684239068746768,0.0,0.0,0.391595515253938,0.0,11.411761738406629,0.0,0.0,0.9969605629894944,0.2913319292227365,0.0,0.28313427753465087
08,08,202453,160119,42329,5,128007,39433,2460,125446,63.22800847604135,1.9217699032084183,97.99932816174115,29243,22356,20308,17017,2427,924,7209,2609,311,3153,0,246,0,132,74,0,0,430,0,17294,0,0,1239,0,0,474,23.31122554724742,17.821213908773494,16.18863893627537,13.565199368652648,1.934697001100075,0.7365719114200533,5.746695789423337,2.0797793472888735,0.2479154377182214,2.513432074358688,0.0,0.19610031407936482,0.0,0.10522455877429332,0.058989525373467466,0.0,0.0,0.34277697176474337,0.0,13.786011510929006,0.0,0.0,0.9876759721314351,0.0,0.0,0.37785182468950784
09,09,202428,163096,39328,4,137914,36941,2149,135575,68.12990297784891,1.5582174398538218,98.30401554591992,27720,17502,12278,30667,2230,1512,5494,2855,742,2906,0,454,0,165,178,0,0,599,0,27736,0,0,1627,0,0,910,20.446247464503042,12.909459708648349,9.056241932509682,22.61995205605753,1.6448460261847688,1.115249861700166,4.052369537156555,2.1058454729854326,0.5472985432417481,2.1434630278443665,0.0,0.3348699981560022,0.0,0.12170385395537525,0.13129264244882907,0.0,0.0,0.4418218698137562,0.0,20.45804905034114,0.0,0.0,1.2000737599114881,0.0,0.0,0.6712151945417666
10,10,200519,168718,31801,0,122207,29994,2162,119889,60.94534682498916,1.7691294279378433,98.10321830991678,20329,20761,5346,28216,1573,1922,3411,2586,1599,1320,0,359,0,148,141,0,0,754,0,28310,0,0,2092,0,0,1022,16.956518112587478,17.316851420897663,4.459124690338563,23.535103303889432,1.3120469767868612,1.6031495800281927,2.845131746865851,2.1569952205790357,1.3337337036759,1.1010184420589046,0.0,0.2994436520448081,0.0,0.12344752229145294,0.11760878812901936,0.0,0.0,0.6289150797821318,0.0,23.61350916264211,0.0,0.0,1.744947409687294,0.0,0.0,0.8524551877153033
11,11,204711,168610,36101,0,128693,33716,2231,126377,62.865698472480716,1.7335830231636529,98.20036831840116,24950,15223,9749,34041,2233,1266,3694,2873,1389,2769,0,527,0,261,136,0,0,591,0,24002,0,0,1595,0,0,1078,19.74251643890898,12.045704519018493,7.714220150818582,26.936072228332687,1.7669354392017536,1.0017645615895296,2.923000229472135,2.273356702564549,1.099092398142067,2.1910632472680946,0.0,0.41700625905030186,0.0,0.20652492146514004,0.10761451846459404,0.0,0.0,0.46764838538658143,0.0,18.992379942552837,0.0,0.0,1.2620967422869669,0.0,0.0,0.8530033154767086
12,12,181658,143889,37768,1,121371,35377,2336,118912,66.81291217562672,1.9246772293216665,97.97398060492209,26124,33240,12627,7246,1294,590,10502,2227,410,1343,0,67,0,93,64,0,0,558,0,19169,0,0,2822,0,0,536,21.969187298170077,27.953444564047363,10.61877691065662,6.093581808396125,1.0881996770721205,0.4961652314316469,8.831741119483315,1.8728135091496234,0.34479278794402585,1.1294066200215285,0.0,0.056344187298170076,0.0,0.07820909580193756,0.05382131324004305,0.0,0.0,0.4692545748116254,0.0,16.12032427341227,0.0,0.0,2.3731835306781486,0.0,0.0,0.4507534983853606
